Product code	Product label	Turkey's imports from Japan-Value in 2001	Turkey's imports from Japan-Value in 2002	Turkey's imports from Japan-Value in 2003	Turkey's imports from Japan-Value in 2004	Turkey's imports from Japan-Value in 2005	Turkey's imports from Japan-Value in 2006	Turkey's imports from Japan-Value in 2007	Turkey's imports from Japan-Value in 2008	Turkey's imports from Japan-Value in 2009	Turkey's imports from Japan-Value in 2010	Turkey's imports from Japan-Value in 2011	Turkey's imports from Japan-Value in 2012	Turkey's imports from Japan-Value in 2013	Turkey's imports from Japan-Value in 2014	Turkey's imports from Japan-Value in 2015	Turkey's imports from Japan-Value in 2016	Turkey's imports from Japan-Value in 2017	Japan's exports to world- 	Japan's exports to world-Value in 2001	Japan's exports to world-Value in 2002	Japan's exports to world-Value in 2003	Japan's exports to world-Value in 2004	Japan's exports to world-Value in 2005	Japan's exports to world-Value in 2006	Japan's exports to world-Value in 2007	Japan's exports to world-Value in 2008	Japan's exports to world-Value in 2009	Japan's exports to world-Value in 2010	Japan's exports to world-Value in 2011	Japan's exports to world-Value in 2012	Japan's exports to world-Value in 2013	Japan's exports to world-Value in 2014	Japan's exports to world-Value in 2015	Japan's exports to world-Value in 2016	Japan's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	1307372	1462786	1927096	2684287	3109218	3216725	3703442	4026764	2781971	3297796	4263730	3601427	3453190	3199915	3140255	3943604	4281638		403344077	416729388	472006874	565761137	594940866	646725059	714327036	781412163	580718734	769773832	823183759	798620023	715097244	690217466	624873508	644932439	698132787		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		1565	1771	2342	2310	2090	1854	1620	1708	1379	1103	1003	1074	1119	1246	891	646	583		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1657	493	656	628	465	547	771	558	476	273	154	292	545	301	688	1183	834		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		24	88	99	113	179	454	1311	1463	1010	1223	473	838	1075	1661	2387	3152	3923		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0901	"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1856	2444	1369	2380	3207	3890	3302	4688	5775	7528	8467	8776	8409	8335	16939	25012	26778		13337	13146	13426	18289	22973	26496	43370	46091	44183	58920	82673	96580	96501	109170	146799	130503	191808	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	6	0	0	0	0	372	409	0	13	0		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17	23	10	198	0	0	4	22	0	0	0	5	0	0	0	0	0		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1108	"Starches; inulin"	10	38	44	80	54	68	64	46	0	13	20	0	1	0	0	0	0		4117	3445	3740	5465	5386	6807	7246	8143	7294	5012	6133	3940	3772	3605	4042	5917	5782		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	9	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
