Product code	Product label	Turkey's imports from Korea, Republic of-Value in 2001	Turkey's imports from Korea, Republic of-Value in 2002	Turkey's imports from Korea, Republic of-Value in 2003	Turkey's imports from Korea, Republic of-Value in 2004	Turkey's imports from Korea, Republic of-Value in 2005	Turkey's imports from Korea, Republic of-Value in 2006	Turkey's imports from Korea, Republic of-Value in 2007	Turkey's imports from Korea, Republic of-Value in 2008	Turkey's imports from Korea, Republic of-Value in 2009	Turkey's imports from Korea, Republic of-Value in 2010	Turkey's imports from Korea, Republic of-Value in 2011	Turkey's imports from Korea, Republic of-Value in 2012	Turkey's imports from Korea, Republic of-Value in 2013	Turkey's imports from Korea, Republic of-Value in 2014	Turkey's imports from Korea, Republic of-Value in 2015	Turkey's imports from Korea, Republic of-Value in 2016	Turkey's imports from Korea, Republic of-Value in 2017	Korea, Republic of's exports to world- 	Korea, Republic of's exports to world-Value in 2001	Korea, Republic of's exports to world-Value in 2002	Korea, Republic of's exports to world-Value in 2003	Korea, Republic of's exports to world-Value in 2004	Korea, Republic of's exports to world-Value in 2005	Korea, Republic of's exports to world-Value in 2006	Korea, Republic of's exports to world-Value in 2007	Korea, Republic of's exports to world-Value in 2008	Korea, Republic of's exports to world-Value in 2009	Korea, Republic of's exports to world-Value in 2010	Korea, Republic of's exports to world-Value in 2011	Korea, Republic of's exports to world-Value in 2012	Korea, Republic of's exports to world-Value in 2013	Korea, Republic of's exports to world-Value in 2014	Korea, Republic of's exports to world-Value in 2015	Korea, Republic of's exports to world-Value in 2016	Korea, Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	759499	899998	1312442	2572537	3485389	3556269	4369903	4091711	3118214	4764057	6298483	5660093	6088318	7548319	7057381	6384242	6608894		150430886	162466097	193817314	253844609	284418167	325457247	371477104	422003479	363531063	466380620	555208898	547854448	559648708	573091134	526900733	495465606	573716618		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9706	"Antiques of > 100 years old"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2799	640	0	23	511	6446	265	9611	334	32493	2380	7500	3231	9741	7802	1465	2186		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		14487	12750	17331	14416	13502	29441	26896	31258	27983	33914	68163	65630	24390	39551	58225	78054	94078		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16430	13188	14952	16902	16235	24153	22403	17512	14464	44014	111293	139842	242889	178314	92885	91264	51166		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1022	924	1476	1737	1162	1414	1626	1343	1595	1210	1108	1969	1767	1559	1571	1308	1179		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		233	52	38	61	57	11	1	0	2	2	1	100	15	14	0	42	10		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		531	69	288	884	905	1654	1981	1130	1080	1616	1332	1054	858	1062	1705	2143	2049		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2823	1725	2383	4771	4869	3185	2364	2627	5834	5219	5484	5456	4111	4091	3741	4433	4205		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0901	"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0		1396	3538	1643	777	1774	1814	2052	1944	4688	15169	30795	13471	8383	4514	4179	3323	3753		13337	13146	13426	18289	22973	26496	43370	46091	44183	58920	82673	96580	96501	109170	146799	130503	191808	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	4	25	12	57	3	14	2	3		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
