Product code	Product label	Turkey's imports from China-Value in 2001	Turkey's imports from China-Value in 2002	Turkey's imports from China-Value in 2003	Turkey's imports from China-Value in 2004	Turkey's imports from China-Value in 2005	Turkey's imports from China-Value in 2006	Turkey's imports from China-Value in 2007	Turkey's imports from China-Value in 2008	Turkey's imports from China-Value in 2009	Turkey's imports from China-Value in 2010	Turkey's imports from China-Value in 2011	Turkey's imports from China-Value in 2012	Turkey's imports from China-Value in 2013	Turkey's imports from China-Value in 2014	Turkey's imports from China-Value in 2015	Turkey's imports from China-Value in 2016	Turkey's imports from China-Value in 2017	China's exports to world- 	China's exports to world-Value in 2001	China's exports to world-Value in 2002	China's exports to world-Value in 2003	China's exports to world-Value in 2004	China's exports to world-Value in 2005	China's exports to world-Value in 2006	China's exports to world-Value in 2007	China's exports to world-Value in 2008	China's exports to world-Value in 2009	China's exports to world-Value in 2010	China's exports to world-Value in 2011	China's exports to world-Value in 2012	China's exports to world-Value in 2013	China's exports to world-Value in 2014	China's exports to world-Value in 2015	China's exports to world-Value in 2016	China's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	925620	1365933	2610298	4476077	6885400	9669110	13234092	15658210	12676573	17180806	21693336	21295242	24685885	24918224	24873452	25441433	23370849		266098209	325595970	438227767	593325581	761953410	968935601	1220059668	1430693100	1201646800	1577763800	1898388400	2048782200	2209007300	2342292696	2273468224	2097637172	2271796142		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9706	"Antiques of > 100 years old"	0	12	25	61	35	58	31	46	134	40	90	510	0	61	0	0	0		1089	1727	1753	1597	2143	2015	1874	1578	523	565	123	3666	24174	24485	64227	23953	8143		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		77706	82067	67362	33329	37400	31645	34556	33991	26083	26100	28624	30936	29756	18513	15693	15320	2234		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1462	2062	1278	7387	19244	31561	34091	35975	22300	33428	27448	14573	3895	1417	0	0	65		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		135781	209464	269146	459544	406121	400879	283763	275645	262721	332013	326103	295038	325390	422689	322236	253571	258573		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37940	53317	108337	105858	139424	186753	153697	182012	199569	261119	337999	342439	358890	348988	375537	408458	418461		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0		2689	4849	7634	9541	14766	18948	16186	21524	33483	41134	52416	75654	103116	128927	175467	189567	146384		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	1	38	37	226	532	562	49	45	12	39	11	21	5	5	6	2		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46850	70060	265007	112083	36701	161214	480779	30528	2263	2	17396	0	1008	311	1209	3356	4115		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2980	2404	1756	339	722	153	507	9981	4772	1213	130	76	149	149	311	706	910		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		512	747	687	545	659	508	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1806	"Chocolate and other food preparations containing cocoa"	0	7	0	0	0	0	0	1	9	19	1	121	137	18	0	0	0		10605	18861	28639	40049	46463	58530	69957	85793	76994	113328	185942	222711	268792	338695	334368	339341	315585		17230	20274	24060	36137	41544	58484	64349	80343	77269	89227	91693	100653	111379	98108	90108	92729	113354	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		175432	207206	237453	221464	239819	244165	252302	248252	279678	311566	376898	450148	489280	514657	573242	635105	576655		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	182	61	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0		360	631	289	405	403	479	146	91	10	2266	2006	5	785	10	772	1416	9545		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1019	82	454	1529	411	940	381	1203	113	618	1335	1423	517	641	424	542	3864		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		225	229	441	237	958	244	407	421	868	352	656	1900	2601	799	392	312	427		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	7	0	14	9	0	16	15	67	18	14	0	0	0	0	0		945	690	859	654	370	2743	2749	3604	2867	5569	5668	2872	2230	1088	324	5	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	1150	6405	14	27	29	31	35	0	1145	0	24	12	10	254	49	674	0		130025	84634	95451	158924	259754	339540	299494	693307	350441	663307	1201931	795740	805511	770460	750666	580308	746501		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		612	1347	1882	2140	2284	2693	1641	710	579	995	7426	5213	4509	5634	4493	6358	8458		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
